N_Teste,N_Vertices,Tempo_Dijkstra_micros,Tempo_BMSSP_micros
0,300,138,855
1,300,116,793
2,300,124,804
3,300,106,790
4,300,115,788
5,300,111,793
6,300,105,744
7,300,112,784
8,300,104,714
9,300,114,817
10,300,111,741
11,300,116,731
12,300,105,712
13,300,105,751
14,300,113,1101
15,300,109,743
16,300,102,724
17,300,112,764
18,300,103,754
19,300,113,792
20,300,119,827
21,300,115,776
22,300,126,775
23,300,129,771
24,300,123,800
25,300,118,870
26,300,117,795
27,300,130,856
28,300,129,809
29,300,131,841
30,300,123,819
31,300,111,808
32,300,120,833
33,300,119,779
34,300,120,834
35,300,112,784
36,300,129,810
37,300,109,788
38,300,113,796
39,300,115,779
40,300,117,778
41,300,119,817
42,300,120,810
43,300,112,807
44,300,103,752
45,300,118,798
46,300,124,740
47,300,113,772
48,300,131,750
49,300,124,771
50,300,126,775
51,300,116,791
52,300,117,778
53,300,105,766
54,300,123,813
55,300,119,752
56,300,117,792
57,300,128,777
58,300,115,729
59,300,108,775
60,300,99,726
61,300,145,745
62,300,117,826
63,300,122,743
64,300,136,774
65,300,104,770
66,300,110,787
67,300,115,782
68,300,106,736
69,300,118,813
70,300,117,809
71,300,115,790
72,300,128,878
73,300,113,803
74,300,115,764
75,300,122,742
76,300,105,753
77,300,97,733
78,300,110,765
79,300,105,765
80,300,107,747
81,300,105,720
82,300,108,733
83,300,117,764
84,300,100,722
85,300,113,740
86,300,109,760
87,300,118,814
88,300,101,744
89,300,102,759
90,300,118,769
91,300,126,775
92,300,104,737
93,300,99,729
94,300,99,731
95,300,109,766
96,300,100,735
97,300,102,748
98,300,102,740
99,300,101,734
100,300,102,760
101,300,97,721
102,300,97,685
103,300,98,714
104,300,94,766
105,300,107,784
106,300,98,690
107,300,98,720
108,300,107,731
109,300,103,752
110,300,101,722
111,300,100,743
112,300,121,760
113,300,116,772
114,300,104,742
115,300,106,765
116,300,114,753
117,300,122,824
118,300,101,722
119,300,110,737
120,300,125,763
121,300,102,742
122,300,111,762
123,300,121,734
124,300,105,713
125,300,102,732
126,300,103,721
127,300,99,739
128,300,102,774
129,300,103,750
130,300,120,752
131,300,99,741
132,300,104,738
133,300,115,771
134,300,105,722
135,300,99,720
136,300,105,769
137,300,120,781
138,300,103,734
139,300,100,714
140,300,103,727
141,300,101,737
142,300,104,734
143,300,105,770
144,300,118,781
145,300,101,750
146,300,100,751
147,300,111,757
148,300,122,722
149,300,103,746
150,300,103,744
151,300,100,704
152,300,103,832
153,300,97,730
154,300,109,766
155,300,110,788
156,300,98,748
157,300,110,742
158,300,105,714
159,300,111,726
160,300,99,713
161,300,103,723
162,300,123,802
163,300,108,770
164,300,104,775
165,300,114,755
166,300,102,728
167,300,103,764
168,300,116,752
169,300,110,956
170,300,102,750
171,300,102,729
172,300,131,744
173,300,101,733
174,300,100,748
175,300,102,740
176,300,104,733
177,300,106,734
178,300,118,750
179,300,107,747
180,300,114,751
181,300,102,734
182,300,107,753
183,300,107,739
184,300,102,726
185,300,104,767
186,300,112,775
187,300,101,744
188,300,107,759
189,300,104,727
190,300,104,740
191,300,104,735
192,300,102,739
193,300,101,695
194,300,100,731
195,300,117,785
196,300,103,801
197,300,103,760
198,300,103,730
199,300,97,732
200,350,126,946
201,350,126,914
202,350,134,902
203,350,125,904
204,350,124,900
205,350,134,910
206,350,128,906
207,350,134,928
208,350,127,904
209,350,122,897
210,350,125,948
211,350,128,894
212,350,129,933
213,350,135,911
214,350,127,949
215,350,127,891
216,350,161,1004
217,350,128,919
218,350,126,945
219,350,133,927
220,350,127,901
221,350,126,918
222,350,134,922
223,350,132,923
224,350,129,915
225,350,131,911
226,350,132,935
227,350,126,913
228,350,129,938
229,350,128,918
230,350,130,914
231,350,133,938
232,350,138,922
233,350,129,921
234,350,138,966
235,350,130,924
236,350,133,948
237,350,133,920
238,350,138,919
239,350,127,889
240,350,132,930
241,350,144,974
242,350,128,935
243,350,132,963
244,350,134,934
245,350,131,953
246,350,130,909
247,350,132,949
248,350,131,914
249,350,132,934
250,350,128,943
251,350,125,909
252,350,130,924
253,350,129,917
254,350,136,977
255,350,132,966
256,350,133,947
257,350,135,1016
258,350,148,966
259,350,136,985
260,350,130,938
261,350,131,961
262,350,134,933
263,350,134,964
264,350,136,940
265,350,134,950
266,350,134,964
267,350,140,980
268,350,135,962
269,350,131,935
270,350,136,982
271,350,137,979
272,350,128,915
273,350,127,924
274,350,141,964
275,350,131,942
276,350,137,991
277,350,134,960
278,350,148,954
279,350,134,955
280,350,132,957
281,350,136,941
282,350,132,967
283,350,132,933
284,350,130,925
285,350,142,932
286,350,135,926
287,350,129,924
288,350,133,938
289,350,146,1071
290,350,135,946
291,350,134,974
292,350,143,968
293,350,129,910
294,350,130,964
295,350,127,930
296,350,133,958
297,350,133,930
298,350,138,945
299,350,138,923
300,350,133,966
301,350,131,966
302,350,127,917
303,350,132,946
304,350,129,926
305,350,130,923
306,350,130,974
307,350,179,1186
308,350,133,962
309,350,127,917
